,full_name,description,topics,main_language,stars_count,forks_count,open_issues_count
56,PanJiaChen/vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,"admin, admin-dashboard, admin-template, axios, dashboard, desktop, element, element-ui, i18n, management-system, mock, tinymce, vue, vue-admin, vue-cli, vuex, webpack, webpack4, xlsx",Vue,79586,28938,1252
57,iluwatar/java-design-patterns,Design patterns implemented in Java,"awesome-list, design-patterns, hacktoberfest, java, principles, snippets, snippets-collection, snippets-library",Java,78160,24251,249
58,animate-css/animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,"animation, css, css-animations, stylesheets",CSS,76341,16310,43
59,ryanmcdermott/clean-code-javascript,:bathtub: Clean Code concepts adapted for JavaScript,"best-practices, clean-architecture, clean-code, composition, inheritance, javascript, principles",JavaScript,75615,10210,70
60,storybookjs/storybook,"Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development, testing, and documentation. ","angular, components, design-systems, documentation, ember, html, javascript, react, react-native, storybook, styleguide, svelte, testing, typescript, ui, ui-components, vue, web-components, webpack",TypeScript,75192,7936,2181
61,rust-lang/rust,Empowering everyone to build reliable and efficient software.,"compiler, hacktoberfest, language, rust",Rust,74751,10055,9293
62,tensorflow/models,Models and examples built with TensorFlow,,Python,74745,46089,1257
63,huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","bert, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp, nlp-library, pretrained-models, python, pytorch, pytorch-transformers, seq2seq, speech-recognition, tensorflow, transformer",Python,74673,16983,563
64,nvbn/thefuck,Magnificent app which corrects your previous console command.,"python, shell",Python,74602,3291,271
65,Genymobile/scrcpy,Display and control your Android device,"android, c, ffmpeg, libav, mirroring, recording, screen, sdl2",C,73240,7789,1171
66,MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,"animation, leetcode, leetcode-c, leetcode-java, leetcode-solutions",Java,71932,13756,16
67,laravel/laravel,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things.","framework, laravel, php",PHP,71541,23131,32
68,FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit","css, font, fontawesome, icons, svg-icons, svg-sprites, webfont",JavaScript,70479,12222,5291
69,gothinkster/realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more 🏅",,Shell,70357,6598,58
70,doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,"advanced-java, distributed-search-engine, distributed-systems, doocs, dubbo, elasticsearch, eureka, feign, high-availability, high-concurrency, hystrix, java, message-queue, microservices-architecture, redis, ribbon, rpc, spring-cloud, springcloud-config, zookeeper",Java,67674,17903,4
71,tonsky/FiraCode,Free monospaced font with programming ligatures,"font, ligatures, programming-ligatures",Clojure,67400,2920,345
72,django/django,The Web framework for perfectionists with deadlines.,"apps, django, framework, models, orm, python, templates, views, web",Python,67396,28240,178
73,bitcoin/bitcoin,Bitcoin Core integration/staging tree,"bitcoin, c-plus-plus, cryptocurrency, cryptography, p2p",C++,67054,33284,790
74,vuejs/awesome-vue,🎉 A curated list of awesome things related to Vue.js,,,67023,9186,43
75,papers-we-love/papers-we-love,Papers from the computer science community to read and discuss.,"awesome, computer-science, meetup, papers, programming, read-papers, theory",Shell,65855,4978,12
76,opencv/opencv,Open Source Computer Vision Library,"c-plus-plus, computer-vision, deep-learning, image-processing, opencv",C++,64979,53080,2369
77,moby/moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,"containers, docker, go",Go,64575,18371,4404
78,gin-gonic/gin,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.","framework, gin, go, middleware, performance, router, server",Go,64562,7070,620
79,typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),,JavaScript,64336,6353,651
80,spring-projects/spring-boot,Spring Boot,"framework, java, spring, spring-boot",Java,64191,37541,544
81,mtdvio/every-programmer-should-know,A collection of (mostly) technical things every software developer should know about,"cc-by, collection, computer-science, educational, novice",,64121,6120,57
82,gohugoio/hugo,The world’s fastest framework for building websites.,"blog-engine, cms, content-management-system, documentation-tool, go, hacktoberfest, hugo, static-site-generator",Go,63819,6902,673
83,sveltejs/svelte,Cybernetically enhanced web apps,"compiler, template, ui",TypeScript,63344,3095,825
